19.35,31.65,1.0
20.35,31.45,1.0
21.35,31.1,1.0
22.25,30.9,1.0
23.2,30.45,1.0
23.95,30.05,1.0
24.9,29.65,1.0
25.6,29.05,1.0
26.35,28.5,1.0
27.15,27.9,1.0
27.75,27.35,1.0
28.3,26.6,1.0
28.95,25.85,1.0
29.5,25.15,1.0
29.95,24.45,1.0
30.4,23.7,1.0
30.6,22.9,1.0
30.9,22.1,1.0
31.25,21.3,1.0
31.35,20.55,1.0
31.5,19.7,1.0
31.55,18.9,1.0
31.65,18.15,1.0
31.6,17.35,1.0
31.45,16.55,1.0
31.3,15.8,1.0
31.15,15.05,1.0
30.9,14.35,1.0
30.6,13.65,1.0
30.3,13.0,1.0
29.9,12.3,1.0
29.5,11.75,1.0
29.0,11.15,1.0
28.5,10.6,1.0
28.0,10.1,1.0
27.55,9.65,1.0
26.9,9.1,1.0
26.25,8.8,1.0
25.7,8.4,1.0
25.15,8.05,1.0
24.5,7.75,1.0
23.9,7.65,1.0
23.15,7.4,1.0
22.5,7.3,1.0
21.9,7.1,1.0
21.25,7.05,1.0
20.5,7.0,1.0
19.9,6.95,1.0
19.25,7.05,1.0
18.75,7.1,1.0
18.05,7.25,1.0
17.5,7.35,1.0
16.9,7.6,1.0
16.35,7.8,1.0
15.8,8.05,1.0
15.4,8.35,1.0
14.9,8.7,1.0
14.45,8.9,1.0
13.95,9.3,1.0
13.6,9.65,1.0
13.25,10.1,1.0
12.95,10.55,1.0
12.65,10.9,1.0
12.35,11.4,1.0
12.2,11.75,1.0
11.95,12.2,1.0
11.8,12.65,1.0
11.75,13.05,1.0
11.55,13.6,1.0
11.55,14.0,1.0
11.55,14.35,1.0
11.55,14.7,1.0
11.6,15.25,1.0
11.65,15.7,1.0
11.8,16.05,1.0
11.85,16.5,1.0
12.0,16.75,1.0
12.15,17.2,1.0
12.3,17.6,1.0
12.55,17.85,1.0
12.8,18.05,1.0
13.1,18.4,1.0
13.3,18.6,1.0
13.55,18.85,1.0
13.8,19.05,1.0
14.15,19.25,1.0
14.45,19.5,1.0
14.85,19.55,1.0
15.0,19.7,1.0
15.25,19.7,1.0
15.55,19.85,1.0
15.95,19.9,1.0
16.2,19.9,1.0
16.55,19.9,1.0
16.85,19.9,1.0
17.2,19.9,1.0
17.4,19.8,1.0
17.65,19.75,1.0
17.8,19.7,1.0
18.0,19.6,1.0
18.2,19.55,1.0
3.9,9.6,2.0
3.55,10.65,2.0
3.35,11.4,2.0
3.1,12.35,2.0
3.1,13.25,2.0
3.05,14.15,2.0
3.0,15.1,2.0
3.1,16.0,2.0
3.2,16.85,2.0
3.45,17.75,2.0
3.7,18.7,2.0
3.95,19.55,2.0
4.35,20.25,2.0
4.7,21.1,2.0
5.15,21.8,2.0
5.6,22.5,2.0
6.2,23.3,2.0
6.8,23.85,2.0
7.35,24.45,2.0
8.05,24.95,2.0
8.8,25.45,2.0
9.5,26.0,2.0
10.2,26.35,2.0
10.9,26.75,2.0
11.7,27.0,2.0
12.45,27.25,2.0
13.3,27.6,2.0
14.05,27.6,2.0
14.7,27.75,2.0
15.55,27.75,2.0
16.4,27.75,2.0
17.1,27.75,2.0
17.9,27.75,2.0
18.55,27.7,2.0
19.35,27.6,2.0
20.1,27.35,2.0
20.7,27.1,2.0
21.45,26.8,2.0
22.05,26.5,2.0
22.7,26.15,2.0
23.35,25.65,2.0
23.8,25.3,2.0
24.3,24.85,2.0
24.75,24.35,2.0
25.25,23.95,2.0
25.65,23.45,2.0
26.05,23.0,2.0
26.2,22.3,2.0
26.6,21.8,2.0
26.75,21.25,2.0
27.0,20.7,2.0
27.15,20.15,2.0
27.15,19.6,2.0
27.35,19.1,2.0
27.35,18.45,2.0
27.4,18.0,2.0
27.3,17.4,2.0
27.15,16.9,2.0
27.0,16.4,2.0
27.0,15.9,2.0
26.75,15.35,2.0
26.55,14.85,2.0
26.3,14.45,2.0
25.95,14.1,2.0
25.75,13.7,2.0
25.35,13.3,2.0
25.05,12.95,2.0
24.8,12.7,2.0
24.4,12.45,2.0
24.05,12.2,2.0
23.55,11.85,2.0
23.2,11.65,2.0
22.75,11.4,2.0
22.3,11.3,2.0
21.9,11.1,2.0
21.45,11.05,2.0
21.1,11.0,2.0
20.7,10.95,2.0
20.35,10.95,2.0
19.95,11.0,2.0
19.55,11.0,2.0
19.15,11.05,2.0
18.85,11.1,2.0
18.45,11.25,2.0
18.15,11.35,2.0
17.85,11.5,2.0
17.5,11.7,2.0
17.2,11.95,2.0
17.0,12.05,2.0
16.75,12.2,2.0
16.65,12.35,2.0
16.5,12.5,2.0
16.35,12.7,2.0
16.2,12.8,2.0
16.15,12.95,2.0
16.0,13.1,2.0
15.95,13.25,2.0
15.9,13.4,2.0
15.8,13.5,2.0
15.8,13.65,2.0
15.75,13.85,2.0
15.65,14.05,2.0
15.65,14.25,2.0
15.65,14.5,2.0
15.65,14.6,2.0
31.95,7.95,3.0
31.15,7.3,3.0
30.45,6.65,3.0
29.7,6.0,3.0
28.9,5.55,3.0
28.05,5.0,3.0
27.2,4.55,3.0
26.35,4.15,3.0
25.4,3.85,3.0
24.6,3.6,3.0
23.6,3.3,3.0
22.75,3.15,3.0
21.85,3.05,3.0
20.9,3.0,3.0
20.0,2.9,3.0
19.1,3.0,3.0
18.2,3.2,3.0
17.3,3.25,3.0
16.55,3.5,3.0
15.7,3.7,3.0
14.85,4.1,3.0
14.15,4.4,3.0
13.4,4.75,3.0
12.7,5.2,3.0
12.05,5.65,3.0
11.45,6.15,3.0
10.9,6.65,3.0
10.3,7.25,3.0
9.7,7.85,3.0
9.35,8.35,3.0
8.9,9.05,3.0
8.55,9.65,3.0
8.15,10.35,3.0
